Unique_ID,value
ZC_33325,27.77511675686241
ZC_29654,26.239260179090547
ZC_30223,24.951803386041924
ZC_73089,30.53312381985782
ZC_46074,24.325536901953807
ZC_48456,32.84220801483073
ZC_92024,31.286415505262948
ZC_8244,28.329641505902323
ZC_23059,25.56943744445808
ZC_18925,26.8887961279506
ZC_98225,23.66543193649908
ZC_48320,29.944244393288088
ZC_23113,25.13524656182153
ZC_28512,30.683486641751088
ZC_2043,28.45285765872677
ZC_78387,26.53498650894077
ZC_92064,30.297520009963364
ZC_20838,27.06146899293972
ZC_23072,28.621438181242308
ZC_23238,25.56943744445808
ZC_37602,23.49603569177279
ZC_49061,33.42928870512334
ZC_21084,27.67809586612704
ZC_47619,23.951147877389
ZC_5252,28.74112837312663
ZC_18088,26.594966307525592
ZC_15488,24.732843633689665
ZC_55934,29.55240979281355
ZC_10507,26.23853821205999
ZC_45311,26.91927041567184
ZC_28088,27.76506511472077
ZC_11950,33.58599831835777
ZC_27326,28.045024091030715
ZC_27690,26.197723131953488
ZC_37029,31.64390130295005
ZC_12833,29.58077846614586
ZC_70706,21.77059124473304
ZC_2836,32.95045509573142
ZC_17518,29.15145159296588
ZC_19717,26.497798361387986
ZC_48323,29.944244393288088
ZC_20677,25.65230245653043
ZC_30360,24.889659962391462
ZC_1876,26.082536826329765
ZC_27021,29.65219461491344
ZC_76259,27.44906859315161
ZC_27801,25.90309041272002
ZC_3456,22.90296516085413
ZC_33981,24.691090831748923
ZC_66226,26.748831283142728
ZC_55920,29.55240979281355
ZC_75693,24.17144566344225
ZC_48306,30.07088990991868
ZC_15627,26.54293383459005
ZC_91301,35.314495259466426
ZC_85338,25.91864428026797
ZC_95415,20.621492008974176
ZC_49632,29.54964604441756
ZC_29388,26.239260179090547
ZC_81137,33.211890638748486
ZC_47802,22.281090965498866
ZC_8520,26.199912491772704
ZC_1826,26.082536826329765
ZC_77951,25.84564335123581
ZC_25102,23.011758381110035
ZC_48342,29.944244393288088
ZC_60423,27.916665705223565
ZC_77345,21.70851033547865
ZC_13164,28.06549459234909
ZC_19941,29.45878063888713
ZC_92674,35.40256733690508
ZC_49323,32.15536116964284
ZC_6776,29.868706370613307
ZC_8869,31.2695216822732
ZC_60078,28.79699707599677
ZC_37098,31.64390130295005
ZC_16259,27.57382296429062
ZC_3263,29.144191210399143
ZC_20664,25.65230245653043
ZC_7064,26.254768688670783
ZC_70726,24.701553350253267
ZC_61873,29.29001403283485
ZC_12020,29.58077846614586
ZC_22124,28.175619574830648
ZC_46814,25.94856445204708
ZC_32962,28.07922364826447
ZC_98226,23.66543193649908
ZC_20675,28.175619574830648
ZC_24250,25.2084624474506
ZC_92324,31.818225340323725
ZC_18053,22.474271288840928
ZC_43013,33.515639762307885
ZC_30346,26.558818624882434
ZC_56367,28.9349098868445
ZC_56501,30.40459948225376
ZC_22181,28.175619574830648
ZC_77493,24.05183574728297
ZC_56375,28.9349098868445
ZC_95469,20.621492008974176
ZC_61008,28.68006636050072
ZC_60434,29.52664619717943
ZC_16059,25.63286293801064
ZC_13685,29.840571968866115
ZC_91522,35.314495259466426
ZC_40067,29.74924445457217
ZC_6082,26.22991325460581
ZC_15345,24.732843633689665
ZC_2370,28.45285765872677
ZC_15322,24.732843633689665
ZC_92126,30.297520009963364
ZC_23503,27.200215404946533
ZC_95698,25.29882437673372
ZC_45067,31.98138715248045
ZC_13126,29.12219112556904
ZC_45107,30.54796565372479
ZC_44082,31.767130337281884
ZC_2823,27.3083112024718
ZC_85374,29.04140158619691
ZC_15698,26.54293383459005
ZC_18092,26.594966307525592
ZC_21120,27.67809586612704
ZC_8755,29.36616709586777
ZC_37167,27.13484151469988
ZC_65059,30.208947597322425
ZC_7001,26.254768688670783
ZC_16686,27.076162174952017
ZC_75161,26.70350042175418
ZC_18414,24.16265254781341
ZC_60147,30.383536341424666
ZC_85367,31.72116169337032
ZC_21649,30.008370005048672
ZC_30328,26.558818624882434
ZC_23690,28.621438181242308
ZC_19380,29.981064621991354
ZC_19960,29.45878063888713
ZC_14820,30.93883301357845
ZC_27322,28.677856120037045
ZC_44064,33.52036886925283
ZC_14502,31.142132728717108
ZC_27321,28.677856120037045
ZC_20124,26.421624275983
ZC_8215,28.329641505902323
ZC_44241,27.60416710909304
ZC_78253,27.27355883687344
ZC_14865,33.718810305605786
ZC_92320,41.18700143981128
ZC_20636,28.030234761319853
ZC_65714,28.24014996318984
ZC_91526,35.314495259466426
ZC_75165,27.649216726040063
ZC_16066,24.729408281386924
ZC_7825,20.059107915367296
ZC_24270,23.49603569177279
ZC_1585,32.377491724787305
ZC_48150,26.75769695334656
ZC_98247,23.66543193649908
ZC_5677,33.96880917098903
ZC_27513,26.197723131953488
ZC_2822,27.3083112024718
ZC_14819,30.93883301357845
ZC_18070,26.594966307525592
ZC_7401,26.30204997048936
ZC_78114,27.87737314697112
ZC_91523,35.314495259466426
ZC_37725,28.87663001900152
ZC_21155,30.810024279515943
ZC_43001,33.515639762307885
ZC_23805,26.921984541025623
ZC_65275,27.766590960395387
ZC_3873,28.969058415898843
ZC_92145,30.297520009963364
ZC_39565,28.81720320898283
ZC_48309,29.944244393288088
ZC_6078,26.22991325460581
ZC_56401,28.7558060007236
ZC_2571,30.450900773594302
ZC_34110,28.237094797377672
ZC_90661,26.37888671725737
ZC_56441,28.7558060007236
ZC_49111,32.190311545124665
ZC_21036,30.810024279515943
ZC_10547,26.39717667720744
ZC_32668,22.70656257810749
ZC_16428,29.78838010810314
ZC_24090,27.725873620626988
ZC_15241,25.63286293801064
ZC_6269,34.263859536738096
ZC_20158,27.551298582887263
ZC_75160,27.363616038195502
ZC_23603,28.621438181242308
ZC_20841,24.606279495660104
ZC_27249,28.045024091030715
ZC_12308,27.569244160561265
ZC_63779,30.554476282055177
ZC_5751,25.014105276763694
ZC_30184,25.76807387023588
ZC_48840,27.89769268312016
ZC_48027,30.0996191199715
ZC_78004,27.13862961102988
ZC_98051,15.796822038135664
ZC_39572,26.803604186465684
ZC_23513,27.200215404946533
ZC_92131,30.297520009963364
ZC_31032,23.50025255141605
ZC_37073,27.590086052725805
ZC_95602,43.67788416614719
ZC_25165,23.011758381110035
ZC_3106,29.144191210399143
ZC_18964,28.058011803611823
ZC_78570,23.91975776151677
ZC_25024,23.011758381110035
ZC_62942,30.554476282055177
ZC_60060,29.236525460724543
ZC_66218,25.22091175860201
ZC_21777,27.06146899293972
ZC_60061,29.236525460724543
ZC_33523,23.10931558118854
ZC_1057,32.377491724787305
ZC_37130,23.87758166158885
ZC_34432,22.70656257810749
ZC_91504,35.314495259466426
ZC_34669,27.1872007096052
ZC_75172,28.564178914527808
ZC_75672,19.82119528791145
ZC_33924,28.385566902254485
ZC_30338,26.558818624882434
ZC_92672,35.40256733690508
ZC_20618,25.65230245653043
ZC_2048,28.45285765872677
ZC_20609,25.65230245653043
ZC_20656,28.030234761319853
ZC_6052,26.22991325460581
ZC_12306,27.569244160561265
ZC_78121,27.87737314697112
ZC_15085,25.63286293801064
ZC_37694,23.49603569177279
ZC_31829,27.818458943228634
ZC_62536,31.849133528220843
ZC_90662,26.37888671725737
ZC_78665,26.58604110339559
ZC_27377,27.48970655572548
ZC_15108,25.63286293801064
ZC_42217,30.33160663170316
ZC_60449,27.916665705223565
ZC_64459,32.39669954984629
ZC_34289,24.691090831748923
ZC_27263,30.95229946858891
ZC_39154,23.539499008147324
ZC_7866,31.2695216822732
ZC_2576,30.450900773594302
ZC_19363,29.981064621991354
ZC_92544,41.28298320120743
ZC_55369,19.3423020270279
ZC_49130,33.42928870512334
ZC_16125,29.70331126979093
ZC_61745,30.372583455775963
ZC_21160,31.76767871542457
ZC_33556,27.1872007096052
ZC_91040,24.04997246023473
ZC_45381,26.91927041567184
ZC_14898,30.93883301357845
ZC_35178,24.78449156763677
ZC_45015,25.575875915929647
ZC_49402,31.97475102467105
ZC_33868,25.19996023243213
ZC_61273,31.444789819203223
ZC_15637,26.54293383459005
ZC_48854,27.89769268312016
ZC_12943,33.71319159194152
ZC_64439,31.778403632852264
ZC_19460,28.058011803611823
ZC_15086,24.729408281386924
ZC_90240,26.37888671725737
ZC_1033,32.377491724787305
ZC_48164,26.75769695334656
ZC_25051,23.011758381110035
ZC_25049,23.011758381110035
ZC_10536,26.23853821205999
ZC_49229,30.7069138717368
ZC_15367,25.63286293801064
ZC_15724,33.19305159861971
ZC_5656,33.96880917098903
ZC_91041,24.04997246023473
ZC_6001,26.22991325460581
ZC_29645,26.239260179090547
ZC_62225,30.92406024161617
ZC_95033,23.05908215250209
ZC_23005,25.56943744445808
ZC_22180,28.175619574830648
ZC_30022,24.889659962391462
ZC_27323,28.677856120037045
ZC_15131,24.732843633689665
ZC_21788,27.06146899293972
ZC_33403,26.685206331134125
ZC_11770,28.3277292343324
ZC_71067,23.220698817353192
ZC_18038,26.594966307525592
ZC_23069,25.56943744445808
ZC_11946,33.58599831835777
ZC_7860,20.059107915367296
ZC_3441,22.90296516085413
